Country_Region,Country_SubRegion,Country_InterRegion,Country,Country Code
Africa,Sub-Saharan Africa,Western Africa,Benin,BEN
Africa,Sub-Saharan Africa,Western Africa,Burkina Faso,BFA
Africa,Sub-Saharan Africa,Western Africa,Cabo Verde,CPV
Africa,Sub-Saharan Africa,Western Africa,Cote d'Ivoire,CIV
Africa,Sub-Saharan Africa,Western Africa,Gambia,GMB
Africa,Sub-Saharan Africa,Western Africa,Ghana,GHA
Africa,Sub-Saharan Africa,Western Africa,Guinea,GIN
Africa,Sub-Saharan Africa,Western Africa,Guinea-Bissau,GNB
Africa,Sub-Saharan Africa,Western Africa,Liberia,LBR
Africa,Sub-Saharan Africa,Western Africa,Mali,MLI
Africa,Sub-Saharan Africa,Western Africa,Mauritania,MRT
Africa,Sub-Saharan Africa,Western Africa,Niger,NER
Africa,Sub-Saharan Africa,Western Africa,Nigeria,NGA
Africa,Sub-Saharan Africa,Western Africa,Saint Helena,SHN
Africa,Sub-Saharan Africa,Western Africa,Senegal,SEN
Africa,Sub-Saharan Africa,Western Africa,Sierra Leone,SLE
Africa,Sub-Saharan Africa,Western Africa,Togo,TGO
Americas,Latin America and the Caribbean,Caribbean,Anguilla,AIA
Americas,Latin America and the Caribbean,Caribbean,Antigua and Barbuda,ATG
Americas,Latin America and the Caribbean,Caribbean,Aruba,ABW
Americas,Latin America and the Caribbean,Caribbean,Bahamas,BHS
Americas,Latin America and the Caribbean,Caribbean,Barbados,BRB
Americas,Latin America and the Caribbean,Caribbean,"Bonaire, Sint Eustatius and Saba",BES
Americas,Latin America and the Caribbean,Caribbean,British Virgin Islands,VGB
Americas,Latin America and the Caribbean,Caribbean,Cayman Islands,CYM
Americas,Latin America and the Caribbean,Caribbean,Cuba,CUB
Americas,Latin America and the Caribbean,Caribbean,Curacao,CUW
Americas,Latin America and the Caribbean,Caribbean,Dominica,DMA
Americas,Latin America and the Caribbean,Caribbean,Dominican Republic,DOM
Americas,Latin America and the Caribbean,Caribbean,Grenada,GRD
Americas,Latin America and the Caribbean,Caribbean,Guadeloupe,GLP
Americas,Latin America and the Caribbean,Caribbean,Haiti,HTI
Americas,Latin America and the Caribbean,Caribbean,Jamaica,JAM
Americas,Latin America and the Caribbean,Caribbean,Martinique,MTQ
Americas,Latin America and the Caribbean,Caribbean,Montserrat,MSR
Americas,Latin America and the Caribbean,Caribbean,Puerto Rico,PRI
Americas,Latin America and the Caribbean,Caribbean,Saint Barthelemy,BLM
Americas,Latin America and the Caribbean,Caribbean,Saint Kitts and Nevis,KNA
Americas,Latin America and the Caribbean,Caribbean,Saint Lucia,LCA
Americas,Latin America and the Caribbean,Caribbean,Saint Martin (French Part),MAF
Americas,Latin America and the Caribbean,Caribbean,Saint Vincent and the Grenadines,VCT
Americas,Latin America and the Caribbean,Caribbean,Sint Maarten (Dutch part),SXM
Americas,Latin America and the Caribbean,Caribbean,Trinidad and Tobago,TTO
Americas,Latin America and the Caribbean,Caribbean,Turks and Caicos Islands,TCA
Americas,Latin America and the Caribbean,Caribbean,United States Virgin Islands,VIR
Americas,Latin America and the Caribbean,Central America,Belize,BLZ
Americas,Latin America and the Caribbean,Central America,Costa Rica,CRI
Americas,Latin America and the Caribbean,Central America,El Salvador,SLV
Americas,Latin America and the Caribbean,Central America,Guatemala,GTM
Americas,Latin America and the Caribbean,Central America,Honduras,HND
Americas,Latin America and the Caribbean,Central America,Mexico,MEX
Americas,Latin America and the Caribbean,Central America,Nicaragua,NIC
Americas,Latin America and the Caribbean,Central America,Panama,PAN
Americas,Latin America and the Caribbean,South America,Argentina,ARG
Americas,Latin America and the Caribbean,South America,Bolivia (Plurinational State of),BOL
Americas,Latin America and the Caribbean,South America,Bouvet Island,BVT
Americas,Latin America and the Caribbean,South America,Brazil,BRA
Americas,Latin America and the Caribbean,South America,Chile,CHL
Americas,Latin America and the Caribbean,South America,Colombia,COL
Americas,Latin America and the Caribbean,South America,Ecuador,ECU
Americas,Latin America and the Caribbean,South America,Falkland Islands (Malvinas),FLK
Americas,Latin America and the Caribbean,South America,French Guiana,GUF
Americas,Latin America and the Caribbean,South America,Guyana,GUY
Americas,Latin America and the Caribbean,South America,Paraguay,PRY
Americas,Latin America and the Caribbean,South America,Peru,PER
Americas,Latin America and the Caribbean,South America,South Georgia and the South Sandwich Islands,SGS
Americas,Latin America and the Caribbean,South America,Suriname,SUR
Americas,Latin America and the Caribbean,South America,Uruguay,URY
Americas,Latin America and the Caribbean,South America,Venezuela (Bolivarian Republic of),VEN
Americas,Northern America,NaN,Bermuda,BMU
Americas,Northern America,NaN,Canada,CAN
Americas,Northern America,NaN,Greenland,GRL
Americas,Northern America,NaN,Saint Pierre and Miquelon,SPM
Americas,Northern America,NaN,United States of America,USA
NaN,NaN,NaN,Antarctica,NA
Asia,Central Asia,NaN,Kazakhstan,KAZ
Asia,Central Asia,NaN,Kyrgyzstan,KGZ
Asia,Central Asia,NaN,Tajikistan,TJK
Asia,Central Asia,NaN,Turkmenistan,TKM
Asia,Central Asia,NaN,Uzbekistan,UZB
Asia,Eastern Asia,NaN,China,CHN
Asia,Eastern Asia,NaN,"China, Hong Kong Special Administrative Region",HKG
Asia,Eastern Asia,NaN,"China, Macao Special Administrative Region",MAC
Asia,Eastern Asia,NaN,Democratic People's Republic of Korea,PRK
Asia,Eastern Asia,NaN,Japan,JPN
Asia,Eastern Asia,NaN,Mongolia,MNG
Asia,Eastern Asia,NaN,Republic of Korea,KOR
Asia,South-eastern Asia,NaN,Brunei Darussalam,BRN
Asia,South-eastern Asia,NaN,Cambodia,KHM
Asia,South-eastern Asia,NaN,Indonesia,IDN
Asia,South-eastern Asia,NaN,Lao People's Democratic Republic,LAO
Asia,South-eastern Asia,NaN,Malaysia,MYS
Asia,South-eastern Asia,NaN,Myanmar,MMR
Asia,South-eastern Asia,NaN,Philippines,PHL
Asia,South-eastern Asia,NaN,Singapore,SGP
Asia,South-eastern Asia,NaN,Thailand,THA
Asia,South-eastern Asia,NaN,Timor-Leste,TLS
Asia,South-eastern Asia,NaN,Viet Nam,VNM
Asia,Southern Asia,NaN,Afghanistan,AFG
Asia,Southern Asia,NaN,Bangladesh,BGD
Asia,Southern Asia,NaN,Bhutan,BTN
Asia,Southern Asia,NaN,India,IND
Asia,Southern Asia,NaN,Iran (Islamic Republic of),IRN
Asia,Southern Asia,NaN,Maldives,MDV
Asia,Southern Asia,NaN,Nepal,NPL
Asia,Southern Asia,NaN,Pakistan,PAK
Asia,Southern Asia,NaN,Sri Lanka,LKA
Asia,Western Asia,NaN,Armenia,ARM
Asia,Western Asia,NaN,Azerbaijan,AZE
Asia,Western Asia,NaN,Bahrain,BHR
Asia,Western Asia,NaN,Cyprus,CYP
Asia,Western Asia,NaN,Georgia,GEO
Asia,Western Asia,NaN,Iraq,IRQ
Asia,Western Asia,NaN,Israel,ISR
Asia,Western Asia,NaN,Jordan,JOR
Asia,Western Asia,NaN,Kuwait,KWT
Asia,Western Asia,NaN,Lebanon,LBN
Asia,Western Asia,NaN,Oman,OMN
Asia,Western Asia,NaN,Qatar,QAT
Asia,Western Asia,NaN,Saudi Arabia,SAU
Asia,Western Asia,NaN,State of Palestine,PSE
Asia,Western Asia,NaN,Syrian Arab Republic,SYR
Asia,Western Asia,NaN,Turkiye,TUR
Asia,Western Asia,NaN,United Arab Emirates,ARE
Asia,Western Asia,NaN,Yemen,YEM
Europe,Eastern Europe,NaN,Belarus,BLR
Europe,Eastern Europe,NaN,Bulgaria,BGR
Europe,Eastern Europe,NaN,Czechia,CZE
Europe,Eastern Europe,NaN,Hungary,HUN
Europe,Eastern Europe,NaN,Poland,POL
Europe,Eastern Europe,NaN,Republic of Moldova,MDA
Europe,Eastern Europe,NaN,Romania,ROU
Europe,Eastern Europe,NaN,Russian Federation,RUS
Europe,Eastern Europe,NaN,Slovakia,SVK
Europe,Eastern Europe,NaN,Ukraine,UKR
Europe,Northern Europe,NaN,Aland Islands,ALA
Europe,Northern Europe,NaN,Denmark,DNK
Europe,Northern Europe,NaN,Estonia,EST
Europe,Northern Europe,NaN,Faroe Islands,FRO
Europe,Northern Europe,NaN,Finland,FIN
Europe,Northern Europe,NaN,Guernsey,GGY
Europe,Northern Europe,NaN,Iceland,ISL
Europe,Northern Europe,NaN,Ireland,IRL
Europe,Northern Europe,NaN,Isle of Man,IMN
Europe,Northern Europe,NaN,Jersey,JEY
Europe,Northern Europe,NaN,Latvia,LVA
Europe,Northern Europe,NaN,Lithuania,LTU
Europe,Northern Europe,NaN,Norway,NOR
Europe,Northern Europe,NaN,Svalbard and Jan Mayen Islands,SJM
Europe,Northern Europe,NaN,Sweden,SWE
Europe,Northern Europe,NaN,United Kingdom of Great Britain and Northern Ireland,GBR
Europe,Southern Europe,NaN,Albania,ALB
Europe,Southern Europe,NaN,Andorra,AND
Europe,Southern Europe,NaN,Bosnia and Herzegovina,BIH
Europe,Southern Europe,NaN,Croatia,HRV
Europe,Southern Europe,NaN,Gibraltar,GIB
Europe,Southern Europe,NaN,Greece,GRC
Europe,Southern Europe,NaN,Holy See,VAT
Europe,Southern Europe,NaN,Italy,ITA
Europe,Southern Europe,NaN,Malta,MLT
Europe,Southern Europe,NaN,Montenegro,MNE
Europe,Southern Europe,NaN,North Macedonia,MKD
Europe,Southern Europe,NaN,Portugal,PRT
Europe,Southern Europe,NaN,San Marino,SMR
Europe,Southern Europe,NaN,Serbia,SRB
Europe,Southern Europe,NaN,Slovenia,SVN
Europe,Southern Europe,NaN,Spain,ESP
Europe,Western Europe,NaN,Austria,AUT
Europe,Western Europe,NaN,Belgium,BEL
Europe,Western Europe,NaN,France,FRA
Europe,Western Europe,NaN,Germany,DEU
Europe,Western Europe,NaN,Liechtenstein,LIE
Europe,Western Europe,NaN,Luxembourg,LUX
Europe,Western Europe,NaN,Monaco,MCO
Europe,Western Europe,NaN,Netherlands (Kingdom of the),NLD
Europe,Western Europe,NaN,Switzerland,CHE
Oceania,Australia and New Zealand,NaN,Australia,AUS
Oceania,Australia and New Zealand,NaN,Christmas Island,CXR
Oceania,Australia and New Zealand,NaN,Cocos (Keeling) Islands,CCK
Oceania,Australia and New Zealand,NaN,Heard Island and McDonald Islands,HMD
Oceania,Australia and New Zealand,NaN,New Zealand,NZL
Oceania,Australia and New Zealand,NaN,Norfolk Island,NFK
Oceania,Melanesia,NaN,Fiji,FJI
Oceania,Melanesia,NaN,New Caledonia,NCL
Oceania,Melanesia,NaN,Papua New Guinea,PNG
Oceania,Melanesia,NaN,Solomon Islands,SLB
Oceania,Melanesia,NaN,Vanuatu,VUT
Oceania,Micronesia,NaN,Guam,GUM
Oceania,Micronesia,NaN,Kiribati,KIR
Oceania,Micronesia,NaN,Marshall Islands,MHL
Oceania,Micronesia,NaN,Micronesia (Federated States of),FSM
Oceania,Micronesia,NaN,Nauru,NRU
Oceania,Micronesia,NaN,Northern Mariana Islands,MNP
Oceania,Micronesia,NaN,Palau,PLW
Oceania,Micronesia,NaN,United States Minor Outlying Islands,UMI
Oceania,Polynesia,NaN,American Samoa,ASM
Oceania,Polynesia,NaN,Cook Islands,COK
Oceania,Polynesia,NaN,French Polynesia,PYF
Oceania,Polynesia,NaN,Niue,NIU
Oceania,Polynesia,NaN,Pitcairn,PCN
Oceania,Polynesia,NaN,Samoa,WSM
Oceania,Polynesia,NaN,Tokelau,TKL
Oceania,Polynesia,NaN,Tonga,TON
Oceania,Polynesia,NaN,Tuvalu,TUV
Oceania,Polynesia,NaN,Wallis and Futuna Islands,WLF
